Sort	Order	Family	Subfamily	Genus	Species	Type Species?	Exemplar Accession Number	Exemplar Isolate	Genome Composition	Last Change	MSL of Last Change	Proposal	Taxon History URL
341	Caudovirales	Myoviridae		Cp51virus	Bacillus virus JL	0	KC595512.2	Bacillus phage JL	dsDNA	New,	30	2015.036a-dBA.v2.Cp51virus	ICTVonline=20160170
342	Caudovirales	Myoviridae		Cp51virus	Bacillus virus Shanette	0	KC595513.2	Bacillus phage Shanette	dsDNA	New,	30	2015.036a-dBA.v2.Cp51virus	ICTVonline=20160171
343	Caudovirales	Myoviridae		Cvm10virus	Escherichia virus CVM10	1	GU903191	Escherichia phage vB_EcoM_ECO1230-10	dsDNA	New,	30	2015.049a-dB.A.v2.Cvm10virus	ICTVonline=20160173
344	Caudovirales	Myoviridae		Cvm10virus	Escherichia virus ep3	0	KM360178	Escherichia phage vB_EcoM-ep3	dsDNA	New,	30	2015.049a-dB.A.v2.Cvm10virus	ICTVonline=20160174
345	Caudovirales	Myoviridae		Elvirus	Pseudomonas virus EL	1	AJ697969	EL	dsDNA	Moved,	31	2016.038a-gB.A.v1.Elvirus	ICTVonline=20160225
346	Caudovirales	Myoviridae		Hapunavirus	Halomonas virus HAP1	1			dsDNA	Renamed,Moved,	30	2015.025aB.A.v4.phagesp_ren	ICTVonline=20160187
347	Caudovirales	Myoviridae		Hapunavirus	Vibrio virus VP882	0			dsDNA	Renamed,Moved,	30	2015.025aB.A.v4.phagesp_ren	ICTVonline=20160188
348	Caudovirales	Myoviridae		Jimmervirus	Brevibacillus virus Jimmer	1	KC595514	Brevibacillus phage Jimmer2	dsDNA	New,	31	2016.019a-dB.A.v1.Jimmervirus	ICTVonline=20164864
349	Caudovirales	Myoviridae		Jimmervirus	Brevibacillus virus Osiris	0	KT151956	Brevibacillus phage Osiris	dsDNA	New,	31	2016.019a-dB.A.v1.Jimmervirus	ICTVonline=20164865
350	Caudovirales	Myoviridae		Kpp10virus	Pseudomonas virus Ab03	0	LN610573	Pseudomonas phage vB_PaeM_PAO1_Ab03	dsDNA	New,	30	2015.028a-dB.A.v2.Kpp10virus	ICTVonline=20160190
351	Caudovirales	Myoviridae		Kpp10virus	Pseudomonas virus KPP10	1	AB472900.2	Pseudomonas phage KPP10	dsDNA	New,	30	2015.028a-dB.A.v2.Kpp10virus	ICTVonline=20160191
352	Caudovirales	Myoviridae		Kpp10virus	Pseudomonas virus PAKP3	0	KC862299	Pseudomonas phage PAK_P3	dsDNA	New,	30	2015.028a-dB.A.v2.Kpp10virus	ICTVonline=20160192
353	Caudovirales	Myoviridae		M12virus	Sinorhizobium virus M7	0	KR052480	Sinorhizobium phage phiM7	dsDNA	New,	31	2016.025a-dB.A.v1.M12virus	ICTVonline=20164867
354	Caudovirales	Myoviridae		M12virus	Sinorhizobium virus M12	1	KF381361	Sinorhizobium phage phiM12	dsDNA	New,	31	2016.025a-dB.A.v1.M12virus	ICTVonline=20164866
355	Caudovirales	Myoviridae		M12virus	Sinorhizobium virus N3	0	KR052482	Sinorhizobium phage phiN3	dsDNA	New,	31	2016.025a-dB.A.v1.M12virus	ICTVonline=20164868
356	Caudovirales	Myoviridae		Marthavirus	Arthrobacter virus Brent	0	KT365401	Arthrobacter phage Brent 	dsDNA	New,	31	2016.026a-dB.A.v1.Marthavirus	ICTVonline=20164869
357	Caudovirales	Myoviridae		Marthavirus	Arthrobacter virus Jawnski	0	KU160651	Arthrobacter phage Jawnski	dsDNA	New,	31	2016.026a-dB.A.v1.Marthavirus	ICTVonline=20164870
358	Caudovirales	Myoviridae		Marthavirus	Arthrobacter virus Martha	1	KU160656	Arthrobacter phage Martha 	dsDNA	New,	31	2016.026a-dB.A.v1.Marthavirus	ICTVonline=20164871
359	Caudovirales	Myoviridae		Marthavirus	Arthrobacter virus Sonny	0	KU160665	Arthrobacter phage Sonny 	dsDNA	New,	31	2016.026a-dB.A.v1.Marthavirus	ICTVonline=20164872
360	Caudovirales	Myoviridae		Msw3virus	Edwardsiella virus MSW3	1	AB767244	Edwardsiella phage MSW-3	dsDNA	New,	31	2016.030a-dB.A.v1.Msw3virus	ICTVonline=20164873
361	Caudovirales	Myoviridae		Msw3virus	Edwardsiella virus PEi21	0	AP013057	Edwardsiella phage PEi21	dsDNA	New,	31	2016.030a-dB.A.v1.Msw3virus	ICTVonline=20164874
362	Caudovirales	Myoviridae		Muvirus	Escherichia virus Mu	1			dsDNA	Renamed,Moved,	30	2015.025aB.A.v4.phagesp_ren	ICTVonline=20160194
363	Caudovirales	Myoviridae		Muvirus	Shigella virus SfMu	0	KP010268	Shigella phage SfMu	dsDNA	New,	31	2016.069a-wB.A.v5.Caudovirales_38sp	ICTVonline=20164875
364	Caudovirales	Myoviridae		Myohalovirus	Halobacterium virus phiH	1			dsDNA	Renamed,Moved,	30	2015.025aB.A.v4.phagesp_ren	ICTVonline=20160196
365	Caudovirales	Myoviridae		Nit1virus	Bacillus virus Grass	0	KF669652	Bacillus phage Grass	dsDNA	New,	30	2015.038a-dB.A.v3.Nit1virus	ICTVonline=20160198
366	Caudovirales	Myoviridae		Nit1virus	Bacillus virus NIT1	1	AP013029	Bacillus phage phiNIT1	dsDNA	New,	30	2015.038a-dB.A.v3.Nit1virus	ICTVonline=20160199
367	Caudovirales	Myoviridae		Nit1virus	Bacillus virus SPG24	0	AB930182	Bacillus phage SPG24	dsDNA	New,	30	2015.038a-dB.A.v3.Nit1virus	ICTVonline=20160200
368	Caudovirales	Myoviridae		P1virus	Aeromonas virus 43	0			dsDNA	Renamed,Moved,	30	2015.025aB.A.v4.phagesp_ren	ICTVonline=20160202
369	Caudovirales	Myoviridae		P1virus	Escherichia virus P1	1			dsDNA	Renamed,Moved,	30	2015.025aB.A.v4.phagesp_ren	ICTVonline=20160203
370	Caudovirales	Myoviridae		Pakpunavirus	Pseudomonas virus CAb1	0	HE983845	Pseudomonas phage vB_PaeM_C2-10_Ab1	dsDNA	New,	30	2015.029a-dB.A.v2.Pakpunavirus	ICTVonline=20160205
371	Caudovirales	Myoviridae		Pakpunavirus	Pseudomonas virus CAb02	0	LN610572	Pseudomonas phage vB_PaeM_C2-10_Ab02	dsDNA	New,	30	2015.029a-dB.A.v2.Pakpunavirus	ICTVonline=20160206
372	Caudovirales	Myoviridae		Pakpunavirus	Pseudomonas virus JG004	0	GU988610.2	Pseudomonas phage JG004	dsDNA	New,	30	2015.029a-dB.A.v2.Pakpunavirus	ICTVonline=20160207
373	Caudovirales	Myoviridae		Pakpunavirus	Pseudomonas virus PAKP1	1	KC862297	Pseudomonas phage PAK_P1	dsDNA	New,	30	2015.029a-dB.A.v2.Pakpunavirus	ICTVonline=20160208
374	Caudovirales	Myoviridae		Pakpunavirus	Pseudomonas virus PAKP4	0	KC862300	Pseudomonas phage PAK_P4	dsDNA	New,	30	2015.029a-dB.A.v2.Pakpunavirus	ICTVonline=20160209
375	Caudovirales	Myoviridae		Pakpunavirus	Pseudomonas virus PaP1	0	HQ832595	Pseudomonas phage PaP1	dsDNA	New,	30	2015.029a-dB.A.v2.Pakpunavirus	ICTVonline=20160210
376	Caudovirales	Myoviridae		Pbunavirus	Burkholderia virus BcepF1	0			dsDNA	Renamed,Moved,	30	2015.025aB.A.v4.phagesp_ren	ICTVonline=20160212
377	Caudovirales	Myoviridae		Pbunavirus	Pseudomonas virus 141	0			dsDNA	Renamed,Moved,	30	2015.025aB.A.v4.phagesp_ren	ICTVonline=20160213
378	Caudovirales	Myoviridae		Pbunavirus	Pseudomonas virus Ab28	0	LN610589	Pseudomonas phage vB_PaeM_C1-14_Ab28	dsDNA	New,	30	2015.030aB.A.v3.Pbunalikevirus_5sp	ICTVonline=20160214
379	Caudovirales	Myoviridae		Pbunavirus	Pseudomonas virus DL60	0	KR054030	Pseudomonas phage DL60	dsDNA	New,	30	2015.030aB.A.v3.Pbunalikevirus_5sp	ICTVonline=20160215
380	Caudovirales	Myoviridae		Pbunavirus	Pseudomonas virus DL68	0	KR054033	Pseudomonas phage DL68	dsDNA	New,	30	2015.030aB.A.v3.Pbunalikevirus_5sp	ICTVonline=20160216
381	Caudovirales	Myoviridae		Pbunavirus	Pseudomonas virus F8	0			dsDNA	Renamed,Moved,	30	2015.025aB.A.v4.phagesp_ren	ICTVonline=20160217
382	Caudovirales	Myoviridae		Pbunavirus	Pseudomonas virus JG024	0	GU815091	Pseudomonas phage JG024	dsDNA	New,	30	2015.030aB.A.v3.Pbunalikevirus_5sp	ICTVonline=20160218
383	Caudovirales	Myoviridae		Pbunavirus	Pseudomonas virus KPP12	0	AB560486	Pseudomonas phage KPP12	dsDNA	New,	30	2015.030aB.A.v3.Pbunalikevirus_5sp	ICTVonline=20160219
384	Caudovirales	Myoviridae		Pbunavirus	Pseudomonas virus LBL3	0			dsDNA	Renamed,Moved,	30	2015.025aB.A.v4.phagesp_ren	ICTVonline=20160220
385	Caudovirales	Myoviridae		Pbunavirus	Pseudomonas virus LMA2	0			dsDNA	Renamed,Moved,	30	2015.025aB.A.v4.phagesp_ren	ICTVonline=20160221
386	Caudovirales	Myoviridae		Pbunavirus	Pseudomonas virus PB1	1			dsDNA	Renamed,Moved,	30	2015.025aB.A.v4.phagesp_ren	ICTVonline=20160222
387	Caudovirales	Myoviridae		Pbunavirus	Pseudomonas virus SN	0			dsDNA	Renamed,Moved,	30	2015.025aB.A.v4.phagesp_ren	ICTVonline=20160223
388	Caudovirales	Myoviridae		Phikzvirus	Pseudomonas virus PA7	0	JX233784	Pseudomonas phage PA7	dsDNA	New,	31	2016.038a-gB.A.v1.Elvirus	ICTVonline=20164876
389	Caudovirales	Myoviridae		Phikzvirus	Pseudomonas virus phiKZ	1			dsDNA	Renamed,Moved,	30	2015.025aB.A.v4.phagesp_ren	ICTVonline=20160227
390	Caudovirales	Myoviridae		Rheph4virus	Rhizobium virus RHEph4	1	JX483876	Rhizobium phage RHEph04	dsDNA	New,	30	2015.045a-dB.A.v2.Rheph4virus	ICTVonline=20160229
391	Caudovirales	Myoviridae		Rsl2virus	Ralstonia virus RSF1	0	AP014927	Ralstonia phage RSF1	dsDNA	New,	31	2016.042a-dB.A.v1.Rsl2virus	ICTVonline=20164877
392	Caudovirales	Myoviridae		Rsl2virus	Ralstonia virus RSL2	1	AP014693	Ralstonia phage RSL2	dsDNA	New,	31	2016.042a-dB.A.v1.Rsl2virus	ICTVonline=20164878
393	Caudovirales	Myoviridae		Rslunavirus	Ralstonia virus RSL1	1	AB366653	Ralstonia phage phiRSL1	dsDNA	New,	31	2016.043a-dB.A.v1.Rslunavirus	ICTVonline=20164879
394	Caudovirales	Myoviridae		Secunda5virus	Aeromonas virus 25	1	DQ529280	Aeromonas phage 25	dsDNA	Renamed,Moved,	30	2015.020a-aeB.A.v4.Tevenvirinae	ICTVonline=20160231
395	Caudovirales	Myoviridae		Secunda5virus	Aeromonas virus 31	0			dsDNA	Renamed,Moved,	30	2015.020a-aeB.A.v4.Tevenvirinae	ICTVonline=20160232
396	Caudovirales	Myoviridae		Secunda5virus	Aeromonas virus Aes12	0	JN377895	Aeromonas phage Aes012	dsDNA	New,	30	2015.016a-dB.A.v3.Secunda5virus	ICTVonline=20160233
397	Caudovirales	Myoviridae		Secunda5virus	Aeromonas virus Aes508	0	JN377894	Aeromonas phage Aes508	dsDNA	New,	30	2015.016a-dB.A.v3.Secunda5virus	ICTVonline=20160234
398	Caudovirales	Myoviridae		Secunda5virus	Aeromonas virus AS4	0	HM452125	Aeromonas phage phiAS4	dsDNA	New,	30	2015.016a-dB.A.v3.Secunda5virus	ICTVonline=20160235
399	Caudovirales	Myoviridae		Secunda5virus	Stenotrophomonas virus IME13	0	JX306041	Stenotrophomonas phage IME13	dsDNA	New,	30	2015.016a-dB.A.v3.Secunda5virus	ICTVonline=20160236
400	Caudovirales	Myoviridae		Sep1virus	Staphylococcus virus IPLAC1C	0	KP027447	Staphylococcus phage vB_SepM_ phiIPLA-C1C	dsDNA	New,	31	2016.060a-dB.A.v1.Sep1virus	ICTVonline=20164880
401	Caudovirales	Myoviridae		Sep1virus	Staphylococcus virus SEP1	1	KF021268	Staphylococcus phage phiIBB-SEP1	dsDNA	New,	31	2016.060a-dB.A.v1.Sep1virus	ICTVonline=20164881
402	Caudovirales	Myoviridae		Spn3virus	Salmonella virus SPN3US	1	JN641803	Salmonella phage SPN3US	dsDNA	New,	31	2016.047a-dB.A.v2.Spn3virus	ICTVonline=20164882
403	Caudovirales	Myoviridae		Tg1virus	Yersinia virus R1RT	0	HE956709	Yersinia phage phiR1-RT	dsDNA	New,	30	2015.022a-dB.A.v2.Tg1virus	ICTVonline=20160238
404	Caudovirales	Myoviridae		Tg1virus	Yersinia virus TG1	1	KP202158	Yersinia phage vB_YenM_TG1	dsDNA	New,	30	2015.022a-dB.A.v2.Tg1virus	ICTVonline=20160239
405	Caudovirales	Myoviridae		Unassigned	Bacillus virus G	0			dsDNA	Renamed,	30	2015.025aB.A.v4.phagesp_ren	ICTVonline=20160241
406	Caudovirales	Myoviridae		Unassigned	Bacillus virus PBS1	0			dsDNA	Renamed,	30	2015.025aB.A.v4.phagesp_ren	ICTVonline=20160242
407	Caudovirales	Myoviridae		Unassigned	Microcystis virus Ma-LMM01	0			dsDNA	Renamed,	30	2015.025aB.A.v4.phagesp_ren	ICTVonline=20160243
408	Caudovirales	Myoviridae		Vhmlvirus	Vibrio virus MAR	0	JX556417	Vibrio phage vB_VpaM_MAR	dsDNA	New,	30	2015.024a-dB.A.v2.Vhmlvirus	ICTVonline=20160245
409	Caudovirales	Myoviridae		Vhmlvirus	Vibrio virus VHML	1	AY133112	Vibrio phage VHML	dsDNA	New,	30	2015.024a-dB.A.v2.Vhmlvirus	ICTVonline=20160246
410	Caudovirales	Myoviridae		Vhmlvirus	Vibrio virus VP585	0	FN297812	Vibrio phage VP585	dsDNA	New,	30	2015.024a-dB.A.v2.Vhmlvirus	ICTVonline=20160247
411	Caudovirales	Myoviridae		Vi1virus	Dickeya virus Limestone	0			dsDNA	Renamed,Moved,	30	2015.025aB.A.v4.phagesp_ren	ICTVonline=20160249
412	Caudovirales	Myoviridae		Vi1virus	Escherichia virus CBA120	0			dsDNA	Renamed,Moved,	30	2015.025aB.A.v4.phagesp_ren	ICTVonline=20160250
413	Caudovirales	Myoviridae		Vi1virus	Escherichia virus ECML4	0	JX128257	Escherichia phage ECML-4	dsDNA	New,	30	2015.027aB.A.v3.Viunalikevirus_7sp	ICTVonline=20160251
414	Caudovirales	Myoviridae		Vi1virus	Escherichia virus PhaxI	0			dsDNA	Renamed,Moved,	30	2015.025aB.A.v4.phagesp_ren	ICTVonline=20160252
415	Caudovirales	Myoviridae		Vi1virus	Salmonella virus Det7	0	KP797973	Salmonella phage Det7	dsDNA	New,	30	2015.027aB.A.v3.Viunalikevirus_7sp	ICTVonline=20160253
416	Caudovirales	Myoviridae		Vi1virus	Salmonella virus Marshall	0	KF669653	Salmonella phage Marshall	dsDNA	New,	30	2015.027aB.A.v3.Viunalikevirus_7sp	ICTVonline=20160254
417	Caudovirales	Myoviridae		Vi1virus	Salmonella virus Maynard	0	KF669654	Salmonella phage Maynard	dsDNA	New,	30	2015.027aB.A.v3.Viunalikevirus_7sp	ICTVonline=20160255
418	Caudovirales	Myoviridae		Vi1virus	Salmonella virus SFP10	0			dsDNA	Renamed,Moved,	30	2015.025aB.A.v4.phagesp_ren	ICTVonline=20160256
419	Caudovirales	Myoviridae		Vi1virus	Salmonella virus SH19	0			dsDNA	Renamed,Moved,	30	2015.025aB.A.v4.phagesp_ren	ICTVonline=20160257
420	Caudovirales	Myoviridae		Vi1virus	Salmonella virus SJ2	0	KJ174317	Salmonella phage vB_SalM_SJ2	dsDNA	New,	30	2015.027aB.A.v3.Viunalikevirus_7sp	ICTVonline=20160258
421	Caudovirales	Myoviridae		Vi1virus	Salmonella virus SJ3	0	KJ174318	Salmonella phage vB_SalM_SJ3	dsDNA	New,	30	2015.027aB.A.v3.Viunalikevirus_7sp	ICTVonline=20160259
422	Caudovirales	Myoviridae		Vi1virus	Salmonella virus STML131	0	JX181828	Salmonella phage STML-13-1	dsDNA	New,	30	2015.027aB.A.v3.Viunalikevirus_7sp	ICTVonline=20160260
423	Caudovirales	Myoviridae		Vi1virus	Salmonella virus ViI	1			dsDNA	Renamed,Moved,	30	2015.025aB.A.v4.phagesp_ren	ICTVonline=20160261
424	Caudovirales	Myoviridae		Vi1virus	Shigella virus AG3	0			dsDNA	Renamed,Moved,	30	2015.025aB.A.v4.phagesp_ren	ICTVonline=20160262
425	Caudovirales	Myoviridae		Wphvirus	Bacillus virus BPS13	0	JN654439	Bacillus phage BPS13	dsDNA	New,	31	2016.055aB.A.v1.Wphvirus_3sp	ICTVonline=20164883
426	Caudovirales	Myoviridae		Wphvirus	Bacillus virus Hakuna	0	KJ489399	Bacillus phage Hakuna	dsDNA	New,	31	2016.055aB.A.v1.Wphvirus_3sp	ICTVonline=20164884
427	Caudovirales	Myoviridae		Wphvirus	Bacillus virus Megatron	0	KJ489401	Bacillus phage Megatron	dsDNA	New,	31	2016.055aB.A.v1.Wphvirus_3sp	ICTVonline=20164885
428	Caudovirales	Myoviridae		Wphvirus	Bacillus virus WPh	1	HM144387	Bacillus phage W.Ph.	dsDNA	New,	30	2015.041a-dB.A.v2.Wphvirus	ICTVonline=20160264
429	Caudovirales	Podoviridae	Autographivirinae	Fri1virus	Acinetobacter virus AB3	0	KC311669	Acinetobacter phage AB3	dsDNA	New,	31	2016.013a-dB.A.v1.Fri1virus	ICTVonline=20164888
430	Caudovirales	Podoviridae	Autographivirinae	Fri1virus	Acinetobacter virus Abp1	0	JX658790	Acinetobacter phage Abp1	dsDNA	New,	31	2016.013a-dB.A.v1.Fri1virus	ICTVonline=20164889
431	Caudovirales	Podoviridae	Autographivirinae	Fri1virus	Acinetobacter virus Fri1	1	KR149290	Acinetobacter phage Fri1	dsDNA	New,	31	2016.013a-dB.A.v1.Fri1virus	ICTVonline=20164890
432	Caudovirales	Podoviridae	Autographivirinae	Fri1virus	Acinetobacter virus IME200	0	KT804908	Acinetobacter phage IME-200	dsDNA	New,	31	2016.013a-dB.A.v1.Fri1virus	ICTVonline=20164891
433	Caudovirales	Podoviridae	Autographivirinae	Fri1virus	Acinetobacter virus PD6A3	0	KT388102	Acinetobacter phage vB_AbaP_PD-6A3	dsDNA	New,	31	2016.013a-dB.A.v1.Fri1virus	ICTVonline=20164892
434	Caudovirales	Podoviridae	Autographivirinae	Fri1virus	Acinetobacter virus PDAB9	0	KT388103	Acinetobacter phage vB_AbaP_PD-AB9	dsDNA	New,	31	2016.013a-dB.A.v1.Fri1virus	ICTVonline=20164893
435	Caudovirales	Podoviridae	Autographivirinae	Fri1virus	Acinetobacter virus phiAB1	0	HQ186308	Acinetobacter phage phiAB1	dsDNA	New,	31	2016.013a-dB.A.v1.Fri1virus	ICTVonline=20164894
436	Caudovirales	Podoviridae	Autographivirinae	Kp32virus	Escherichia virus K30	0	HM480846	Escherichia phage K30	dsDNA	New,	31	2016.023a-dB.A.v1.Kp32virus	ICTVonline=20164895
437	Caudovirales	Podoviridae	Autographivirinae	Kp32virus	Klebsiella virus K5	0	KR149291	Klebsiella phage K5	dsDNA	New,	31	2016.023a-dB.A.v1.Kp32virus	ICTVonline=20164897
438	Caudovirales	Podoviridae	Autographivirinae	Kp32virus	Klebsiella virus K11	0	EU734173	Klebsiella phage K11	dsDNA	New,	31	2016.023a-dB.A.v1.Kp32virus	ICTVonline=20164896
439	Caudovirales	Podoviridae	Autographivirinae	Kp32virus	Klebsiella virus Kp1	0	KT367885	Klebsiella phage vB_Kp1	dsDNA	New,	31	2016.023a-dB.A.v1.Kp32virus	ICTVonline=20164898
440	Caudovirales	Podoviridae	Autographivirinae	Kp32virus	Klebsiella virus KP32	1	GQ413937	Klebsiella phage KP32	dsDNA	New,	31	2016.023a-dB.A.v1.Kp32virus	ICTVonline=20164899
441	Caudovirales	Podoviridae	Autographivirinae	Kp32virus	Klebsiella virus KpV289	0	LN866626	Klebsiella phage vB_KpnP_KpV289	dsDNA	New,	31	2016.023a-dB.A.v1.Kp32virus	ICTVonline=20164900
442	Caudovirales	Podoviridae	Autographivirinae	Kp34virus	Klebsiella virus F19	0	KF765493.2	Klebsiella phage F19	dsDNA	New,	30	2015.007a-dB.A.v1.Kp34virus	ICTVonline=20160268
443	Caudovirales	Podoviridae	Autographivirinae	Kp34virus	Klebsiella virus K244	0	AB716666	Klebsiella phage NTUH-K2044-K1-1	dsDNA	New,	30	2015.007a-dB.A.v1.Kp34virus	ICTVonline=20160269
444	Caudovirales	Podoviridae	Autographivirinae	Kp34virus	Klebsiella virus Kp2	0	KT367886	Klebsiella phage Kp2	dsDNA	New,	31	2016.069a-wB.A.v5.Caudovirales_38sp	ICTVonline=20164901
445	Caudovirales	Podoviridae	Autographivirinae	Kp34virus	Klebsiella virus KP34	1	GQ413938.2	Klebsiella phage KP34	dsDNA	New,	30	2015.007a-dB.A.v1.Kp34virus	ICTVonline=20160270
446	Caudovirales	Podoviridae	Autographivirinae	Kp34virus	Klebsiella virus KpV41	0	KT964103	Klebsiella phage KpV41	dsDNA	New,	31	2016.069a-wB.A.v5.Caudovirales_38sp	ICTVonline=20164902
447	Caudovirales	Podoviridae	Autographivirinae	Kp34virus	Klebsiella virus KpV71	0	KU666550	Klebsiella phage KpV71	dsDNA	New,	31	2016.069a-wB.A.v5.Caudovirales_38sp	ICTVonline=20164904
448	Caudovirales	Podoviridae	Autographivirinae	Kp34virus	Klebsiella virus KpV475	0	KX211991	Klebsiella phage KpV475	dsDNA	New,	31	2016.069a-wB.A.v5.Caudovirales_38sp	ICTVonline=20164903
449	Caudovirales	Podoviridae	Autographivirinae	Kp34virus	Klebsiella virus SU503	0	KP708985	Klebsiella phage vB_KpnP_SU503	dsDNA	New,	30	2015.007a-dB.A.v1.Kp34virus	ICTVonline=20160271
450	Caudovirales	Podoviridae	Autographivirinae	Kp34virus	Klebsiella virus SU552A	0	KP708986	Klebsiella phage vB_KpnP_SU552A	dsDNA	New,	30	2015.007a-dB.A.v1.Kp34virus	ICTVonline=20160272
451	Caudovirales	Podoviridae	Autographivirinae	Phikmvvirus	Pantoea virus Limelight	0			dsDNA	Renamed,Moved,	30	2015.025aB.A.v4.phagesp_ren	ICTVonline=20160274
452	Caudovirales	Podoviridae	Autographivirinae	Phikmvvirus	Pantoea virus Limezero	0			dsDNA	Renamed,Moved,	30	2015.025aB.A.v4.phagesp_ren	ICTVonline=20160275
453	Caudovirales	Podoviridae	Autographivirinae	Phikmvvirus	Pseudomonas virus LKA1	0			dsDNA	Renamed,Moved,	30	2015.025aB.A.v4.phagesp_ren	ICTVonline=20160276
454	Caudovirales	Podoviridae	Autographivirinae	Phikmvvirus	Pseudomonas virus phiKMV	1			dsDNA	Renamed,Moved,	30	2015.025aB.A.v4.phagesp_ren	ICTVonline=20160277
455	Caudovirales	Podoviridae	Autographivirinae	Pradovirus	Xanthomonas virus f20	0	KU595432	Xanthomonas phage f20-Xaj	dsDNA	New,	31	2016.079a-dB.A.v1.Pradovirus	ICTVonline=20164905
456	Caudovirales	Podoviridae	Autographivirinae	Pradovirus	Xanthomonas virus f30	0	KU595433	Xanthomonas phage f30-Xaj	dsDNA	New,	31	2016.079a-dB.A.v1.Pradovirus	ICTVonline=20164906
457	Caudovirales	Podoviridae	Autographivirinae	Pradovirus	Xylella virus Prado	1	KF626667	Xylella phage Prado	dsDNA	New,	31	2016.079a-dB.A.v1.Pradovirus	ICTVonline=20164907
458	Caudovirales	Podoviridae	Autographivirinae	Sp6virus	Erwinia virus Era103	0			dsDNA	Renamed,Moved,	30	2015.025aB.A.v4.phagesp_ren	ICTVonline=20160279
459	Caudovirales	Podoviridae	Autographivirinae	Sp6virus	Escherichia virus K5	0			dsDNA	Renamed,Moved,	30	2015.025aB.A.v4.phagesp_ren	ICTVonline=20160280
460	Caudovirales	Podoviridae	Autographivirinae	Sp6virus	Escherichia virus K1-5	0			dsDNA	Renamed,Moved,	30	2015.025aB.A.v4.phagesp_ren	ICTVonline=20160281
461	Caudovirales	Podoviridae	Autographivirinae	Sp6virus	Escherichia virus K1E	0			dsDNA	Renamed,Moved,	30	2015.025aB.A.v4.phagesp_ren	ICTVonline=20160282
462	Caudovirales	Podoviridae	Autographivirinae	Sp6virus	Salmonella virus SP6	1			dsDNA	Renamed,Moved,	30	2015.025aB.A.v4.phagesp_ren	ICTVonline=20160283
463	Caudovirales	Podoviridae	Autographivirinae	T7virus	Escherichia virus T7	1			dsDNA	Renamed,Moved,	30	2015.025aB.A.v4.phagesp_ren	ICTVonline=20160285
464	Caudovirales	Podoviridae	Autographivirinae	T7virus	Kluyvera virus Kvp1	0			dsDNA	Renamed,Moved,	30	2015.025aB.A.v4.phagesp_ren	ICTVonline=20160286
465	Caudovirales	Podoviridae	Autographivirinae	T7virus	Pseudomonas virus gh1	0			dsDNA	Renamed,Moved,	30	2015.025aB.A.v4.phagesp_ren	ICTVonline=20160287
466	Caudovirales	Podoviridae	Autographivirinae	Unassigned	Prochlorococcus virus PSSP7	0			dsDNA	Renamed,	30	2015.025aB.A.v4.phagesp_ren	ICTVonline=20160289
467	Caudovirales	Podoviridae	Autographivirinae	Unassigned	Synechococcus virus P60	0			dsDNA	Renamed,	30	2015.025aB.A.v4.phagesp_ren	ICTVonline=20160290
468	Caudovirales	Podoviridae	Autographivirinae	Unassigned	Synechococcus virus Syn5	0			dsDNA	Renamed,	30	2015.025aB.A.v4.phagesp_ren	ICTVonline=20160291
469	Caudovirales	Podoviridae	Picovirinae	Cp1virus	Streptococcus virus Cp1	1	Z47794		dsDNA	Moved,	31	2016.009a-fB.A.v1Cp1virus	ICTVonline=20160304
470	Caudovirales	Podoviridae	Picovirinae	Cp1virus	Streptococcus virus Cp7	0	LK392619	Streptococcus phage Cp-7	dsDNA	New,	31	2016.009a-fB.A.v1Cp1virus	ICTVonline=20164908
471	Caudovirales	Podoviridae	Picovirinae	P68virus	Staphylococcus virus 44AHJD	1			dsDNA	Renamed,Moved,	30	2015.025aB.A.v4.phagesp_ren	ICTVonline=20160294
472	Caudovirales	Podoviridae	Picovirinae	P68virus	Streptococcus virus C1	0			dsDNA	Renamed,Moved,	30	2015.025aB.A.v4.phagesp_ren	ICTVonline=20160295
473	Caudovirales	Podoviridae	Picovirinae	Phi29virus	Bacillus virus B103	0			dsDNA	Renamed,Moved,	30	2015.025aB.A.v4.phagesp_ren	ICTVonline=20160297
474	Caudovirales	Podoviridae	Picovirinae	Phi29virus	Bacillus virus GA1	0			dsDNA	Renamed,Moved,	30	2015.025aB.A.v4.phagesp_ren	ICTVonline=20160298
475	Caudovirales	Podoviridae	Picovirinae	Phi29virus	Bacillus virus phi29	1			dsDNA	Renamed,Moved,	30	2015.025aB.A.v4.phagesp_ren	ICTVonline=20160299
476	Caudovirales	Podoviridae	Picovirinae	Phi29virus	Kurthia virus 6	0			dsDNA	Renamed,Moved,	30	2015.025aB.A.v4.phagesp_ren	ICTVonline=20160300
477	Caudovirales	Podoviridae	Picovirinae	Unassigned	Actinomyces virus Av1	0			dsDNA	Renamed,	30	2015.025aB.A.v4.phagesp_ren	ICTVonline=20160302
478	Caudovirales	Podoviridae	Picovirinae	Unassigned	Mycoplasma virus P1	0			dsDNA	Renamed,	30	2015.025aB.A.v4.phagesp_ren	ICTVonline=20160303
479	Caudovirales	Podoviridae	Sepvirinae	Nona33virus	Escherichia virus 24B	0	HM208303	Escherichia phage vB_EcoP_24B	dsDNA	New,	31	2016.045a-oB.A.v1.Sepvirinae	ICTVonline=20164909
